x_font_size;button_size;button_distance;button_hue;button_saturation
0.068465;0.224527;0.699185;0.062586;0.375395
0.030421;0.147372;0.338540;0.270156;0.272566
0.690042;0.389199;0.786262;0.644466;0.201728
0.633550;0.054732;0.005177;0.725389;0.247871
0.968893;0.078858;0.547668;0.525079;0.668847
0.827327;0.317969;0.099107;0.443220;0.644455
0.343227;0.357873;0.485378;0.925243;0.292623
0.798598;0.951762;0.768741;0.863954;0.055289
0.819877;0.013860;0.897376;0.657961;0.508269
0.584080;0.162297;0.576865;0.534450;0.189203
